a	ə
garms	ɡɑːrmz
garmund	ˈɡɑːrmənd
garn	ɡɑːrn
garneau	ɡɑːrˈnoʊ
garnell	ɡɑːrˈnel
garner	ˈɡɑːrnər
garnered	ˈɡɑːrnərd
garnering	ˈɡɑːrnərɪŋ
garners	ˈɡɑːrnərz
garnes	ɡɑːrnz
garnet	ˈɡɑːrnət
garnett	ˈɡɑːrnɪt
garnette	ɡɑːrˈnet
garney	ˈɡɑːrniː
garnica	ɡɑːrˈniːkə
garnier	ˈɡɑːrniːər
garnish	ˈɡɑːrnɪʃ
garnished	ˈɡɑːrnɪʃt
garnishes	ˈɡɑːrnɪʃəz
garnishment	ˈɡɑːrnɪʃmənt
garno	ˈɡɑːrnoʊ
garnock	ˈɡɑːrnək
garnsey	ˈɡɑːrnsiː
garo	ˈɡeroʊ
garofalo	ɡɑːroʊˈfɑːloʊ
garofano	ɡɑːroʊˈfɑːnoʊ
garofolo	ɡerəˈfoʊlə
garols	ˈɡærɔːlz
garon	ɡɑːˈrɔːn
garone	ɡəˈroʊn
garonzik	ɡəˈrɑːnzɪk
garoutte	ɡəˈruːt
garp	ɡɑːrp
garp's	ɡɑːrps
garps	ɡɑːrps
garr	ɡær
garrabrant	ɡɑːˈrɑːbrənt
garrahan	ˈɡærəhæn
garramone	ˈɡærəˌmoʊn
garrard	ˈɡærərd
garratt	ˈɡerət
garraway	ˈɡærəweɪ
garrell	ɡɑːˈreɪl
garrels	ˈɡærəlz
garrelts	ˈɡærɪlts
garren	ˈɡɑːrən
garret	ˈɡerɪt
garret's	ˈɡerəts
garrets	ˈɡerəts
garretson	ˈɡærɪtsən
garrett	ˈɡærɪt
garrett's	ˈɡærɪtz
garrette	ɡəˈret
garrey	ˈɡæriː
garrick	ˈɡerɪk
garrido	ɡɑːˈriːdoʊ
garrido-luna	ɡɑːˌriːdoʊˈluːnə
garriga	ˈɡærɪɡə
garrigan	ˈɡærɪɡən
garrigues	ɡɑːˈriːɡes
garrigus	ɡɑːˈriːɡɪs
garringer	ˈɡærɪŋər
garriott	ˈɡæriːət
garris	ˈɡærɪs
garrison	ˈɡærɪsən
garrisoned	ˈɡærəsənd
garritano	ɡɑːriːˈtɑːnoʊ
garritt	ˈɡærɪt
garrity	ˈɡerɪtiː
garro	ˈɡɑːroʊ
garrod	ˈɡærəd
garrol	ˈɡærəl
garrols	ˈɡærəlz
garron	ˈɡærən
garron's	ˈɡerənz
garros	ˈɡeroʊs
garrott	ˈɡærət
garrow	ˈɡeroʊ
garroway	ˈɡæroʊˌweɪ
garroz	ˈɡærəz
garrulous	ˈɡerələs
garry	ˈɡæriː
gars	ɡɑːrz
garside	ˈɡɑːrˌsaɪd
garske	ɡɑːrsk
garson	ˈɡɑːrsən
garst	ɡɑːrst
garsten	ˈɡɑːrsten
garsten's	ˈɡɑːrstenz
garstin	ˈɡɑːrstən
garstka	ˈɡɑːrstkə
garston	ˈɡɑːrstən
garten	ˈɡɑːrtən
gartenberg	ˈɡɑːrtənbərɡ
garter	ˈɡɑːrtər
garters	ˈɡɑːrtərz
garth	ɡɑːrθ
garthwaite	ˈɡɑːrθˌweɪt
gartin	ˈɡɑːrtɪn
gartland	ˈɡɑːrtlənd
gartley	ˈɡɑːrtliː
gartman	ˈɡɑːrtmən
gartmore	ˈɡɑːrtˌmɔːr
gartner	ˈɡɑːrtnər
garton	ˈɡɑːrtən
gartrell	ˈɡɑːrtrəl
gartside	ˈɡɑːrtˌsaɪd
gartzke	ɡɑːrtsk
garuda	ɡəˈruːdə
garuda's	ɡəˈruːdəz
garver	ˈɡɑːrvər
garver's	ˈɡɑːrvərz
garverick	ˈɡɑːrvərɪk
garvey	ˈɡɑːrviː
garvie	ˈɡɑːrviː
garvin	ˈɡɑːrvɪn
garwin	ˈɡɑːrwɪn
garwood	ˈɡɑːrˌwʊd
gary	ˈɡeriː
gary's	ˈɡeriːz
garza	ˈɡɑːrzə
garzarelli	ˈɡɑːrzəˌreliː
garzon	ˈɡɑːrzən
gas	ɡæs
gas's	ˈɡæsɪz
gasaway	ˈɡæsəˌweɪ
gasbarro	ɡɑːsˈbɑːroʊ
gasca	ˈɡɑːskə
gascon	ˈɡæskən
gascons	ˈɡæskənz
gase	ɡeɪz
gaseous	ˈɡæsiːəs
gases	ˈɡæsəz
gash	ɡæʃ
gashed	ɡæʃt
gashes	ˈɡæʃəz
gasich	ˈɡeɪzɪk
gasification	ˌɡæsəfəˈkeɪʃən
gasify	ˌɡæsəˌfaɪ
gasior	ˈɡæsiːər
gasiorowski	ɡəsiːɔːˈrɔːfskiː
gaska	ˈɡɑːskə
gaskamp	ˈɡæˌskæmp
gaskell	ˈɡæskəl
gasket	ˈɡæskət
gaskets	ˈɡæskəts
gaskey	ˈɡæˌskiː
gaskill	ˈɡæˌskɪl
gaskin	ˈɡæskɪn
gaskins	ˈɡæskɪnz
gaslight	ˈɡæslaɪt
gasner	ˈɡæsnər
gasohol	ˈɡæsəˌhɔːl
gasoline	ˈɡæsəˌliːn
gasolines	ˌɡæsəˈliːnz
gasp	ɡæsp
gaspar	ˈɡæspər
gaspara	ɡəˈspɑːrə
gaspard	ɡəˈspɑːrd
gaspari	ɡɑːˈspɑːriː
gasparini	ɡɑːspɑːˈriːniː
gasparro	ɡɑːˈspɑːroʊ
gaspe	ˈɡæspiː
gasped	ɡæspt
gasper	ˈɡæspər
gasperini	ɡɑːspəˈriːniː
gasping	ˈɡæspɪŋ
gasps	ɡæsps
gasque	ɡeɪsk
gass	ɡæs
gassaway	ˈɡæsəweɪ
gassed	ɡæst
gassee	ˌɡæˈsiː
gassen	ˈɡæsən
gasser	ˈɡæsər
gassert	ˈɡæsərt
gasses	ˈɡæsɪz
gassett	ˈɡæsɪt
gassing	ˈɡæsɪŋ
gassman	ˈɡæsmən
gassmann	ˈɡæsmən
gassner	ˈɡæsnər
gast	ɡæst
gastelli	ɡəˈsteliː
gaster	ˈɡæstər
gastilum	ˈɡeɪstɪləm
gastineau	ˈɡæstɪˌnoʊ
gaston	ˈɡæstən
gaston's	ˈɡæstənz
gastonia	ɡəˈstoʊniːə
gastric	ˈɡæstrɪk
gastritis	ɡæˈstraɪtəs
gastro	ˈɡæstroʊ
gastrointestinal	ˌɡæstroʊɪnˈtestənəl
gastronomic	ɡəˌstrɑːˈnɑːmɪk
gastronomy	ɡæˈstrɑːnəmiː
gastroscope	ˈɡæstrəˌskoʊp
gastrovascular	ˌɡæstroʊˈvæskjələr
gastrulate	ˈɡæstrəˌleɪt
gastrulation	ˌɡæstrəˈleɪʃən
gat	ɡæt
gatch	ɡætʃ
gatchel	ˈɡætʃəl
gatchell	ˈɡætʃəl
gate	ɡeɪt
gateau	ɡɑːˈtoʊ
gated	ˈɡeɪtɪd
gatekeeper	ˈɡeɪtˌkiːpər
gatekeepers	ˈɡeɪtˌkiːpərz
gateley	ˈɡætɪliː
gately	ˈɡeɪtliː
gates	ɡeɪts
gates's	ˈɡeɪtsɪz
gateway	ˈɡeɪˌtweɪ
gateway's	ˈɡeɪˌtweɪz
gateways	ˈɡeɪˌtweɪz
gatewood	ˈɡeɪˌtwʊd
gath	ɡæθ
gather	ˈɡæðər
gathered	ˈɡæðərd
gatherer	ˈɡæðərər
gatherers	ˈɡæðərərz
gathering	ˈɡæðərɪŋ
gatherings	ˈɡæðərɪŋz
gathers	ˈɡæðərz
gathings	ˈɡæθɪŋz
gathman	ˈɡæθmən
gathright	ˈɡæˌθraɪt
gatien	ˈɡeɪtjen
gating	ˈɡeɪtɪŋ
gatley	ˈɡætliː
gatliff	ˈɡætlɪf
gatlin	ˈɡætlɪn
gatling	ˈɡætlɪŋ
gatling's	ˈɡætlɪŋz
gatoil	ɡəˈtɔɪl
gator	ˈɡeɪtər
gatorade	ˈɡætəˌreɪd
gators	ˈɡeɪtərz
gatos	ˈɡɑːˌtoʊs
gatrell	ˈɡætrəl
gatsby	ˈɡætsbiː
gatson	ˈɡætsən
gatt	ɡæt
gatten	ˈɡætən
gatti	ˈɡætiː
gatting	ˈɡætɪŋ
gattis	ˈɡætɪs
gatton	ˈɡætən
gattuso	ɡɑːˈtuːsoʊ
gatty	ˈɡætiː
gatward	ˈɡætwərd
gatwick	ˈɡæˌtwɪk
gatx	ˈɡæˌteks
gatz	ɡæts
gatza	ˈɡɑːtzə
gatzke	ɡætsk
gau	ɡoʊ
gaub	ɡɔːb
gaubatz	ˈɡaʊbəts
gaubert	ˈɡaʊbərt
gaubert's	ˈɡaʊbərts
gauch	ɡɔːtʃ
gauche	ɡoʊʃ
gaucher	ˈɡoʊʃər
gaucho	ˈɡaʊtʃoʊ
gauchos	ˈɡaʊtʃoʊz
gaudet	ɡoʊˈdet
gaudette	ɡoʊˈdet
gaudier	ˌɡɔːdiːˈeɪ
gaudin	ɡoʊˈdæn
gaudino	ˌɡɔːˈdiːnoʊ
gaudio	ˈɡɔːdiːoʊ
gaudioso	ɡɔːdiːˈoʊsoʊ
gaudreau	ɡoʊˈdroʊ
gaudy	ˈɡɔːdiː
gauer	ˈɡaʊər
gauerke	ˈɡaʊərk
gaufman	ˈɡɔːfmən
gaufman's	ˈɡɔːfmənz
gauge	ɡeɪdʒ
gauged	ɡeɪdʒd
gauger	ˈɡeɪdʒər
gauges	ˈɡeɪdʒəz
gaugh	ɡɔː
gaughan	ˈɡɔːən
gaughman	ˈɡɔːmən
gaughran	ˈɡɔːrən
gauging	ˈɡeɪdʒɪŋ
gaugler	ˈɡɔːɡlər
gauguin	ˈɡɔːɡwɪn
gaul	ɡɔːl
gaulan	ˈɡɔːlən
gaulden	ˈɡaʊdən
gaulding	ˈɡɔːldɪŋ
gaulin	ɡoʊˈlæn
gaulke	ɡɔːlk
gaulle	ɡɔːl
gaullist	ˈɡɔːlɪst
gauls	ɡɔːlz
gault	ɡɔːlt
gaultier	ˈɡoʊltjeɪ
gaultney	ˈɡɔːltniː
gaumer	ˈɡaʊmər
gaumond	ɡoʊˈmɑːnd
gauna	ˈɡɔːnə
gaunce	ɡɔːns
gaunt	ɡɔːnt
gauntlet	ˈɡɔːntlət
gauntness	ˈɡɔːntnəs
gauntt	ɡɔːnt
gaus	ɡɔːz
gause	ɡɔːz
gausman	ˈɡaʊsmən
gauss	ɡaʊs
gaussian	ˈɡaʊsiːən
gaustad	ˈɡaʊstəd
gaut	ɡɔːt
gauthier	ˈɡaʊθiːər
gauthreaux	ɡoʊˈθroʊ
gautier	ˈɡaʊtiːər
gautney	ˈɡɔːtniː
gautreau	ɡoʊˈtroʊ
gautreaux	ɡoʊˈtroʊ
gauvain	ɡoʊˈvæn
gauvin	ɡoʊˈvæn
gauvreau	ɡoʊvˈroʊ
gauze	ɡɔːz
gavalda	ɡəˈvɑːldə
gavan	ˈɡeɪvən
gave	ɡeɪv
gavel	ˈɡævəl
gaven	ˈɡeɪvən
gaver	ˈɡeɪvər
gavigan	ˈɡævɪɡən
gavin	ˈɡævɪn
gaviotas	ɡæviːˈɔːtəz
gaviria	ɡəˈvɪriːə
gavitt	ˈɡævɪt
gavlak	ˈɡævlək
gavras	ˈɡævrəs
gavras's	ˈɡævrəsɪz
gaw	ɡɔː
gawain	ˈɡɑːwən
gawel	ˈɡɔːəl
gawen	ˈɡɔːən
gawk	ɡɔːk
gawker	ˈɡɑːkər
gawkers	ˈɡɑːkərz
gawking	ˈɡɔːkɪŋ
gawky	ˈɡɔːkiː
gawlik	ˈɡɔːlɪk
gawne	ɡɔːn
gawron	ˈɡɔːrən
gawronski	ɡɑːvˈrɑːnskiː
gawthrop	ˈɡɔːθrəp
gaxiola	ɡæksiːˈoʊlə
gay	ɡeɪ
gayda	ˈɡeɪdə
gaydar	ˈɡeɪˌdɑːr
gayden	ˈɡeɪdən
gaydos	ˈɡeɪdoʊz
gaydosh	ˈɡeɪdəʃ
gaye	ɡeɪ
gayer	ˈɡeɪər
gayhart	ˈɡeɪˌhɑːrt
gayheart	ˈɡeɪˌhɑːrt
gayle	ɡeɪl
gayler	ˈɡeɪlər
gayles	ɡeɪlz
gaylor	ˈɡeɪlər
gaylord	ˈɡeɪˌlɔːrd
gayman	ɡeɪˈmæn
gaymon	ˈɡeɪmən
gaynatie	ˈɡeɪnətiː
gayner	ˈɡeɪnər
gayness	ˈɡeɪnəs
gaynor	ˈɡeɪnər
gays	ɡeɪz
gayshill	ˌɡeɪzˈhɪl
gaytan	ˈɡeɪtən
gayton	ˈɡeɪtən
gaz	ɡɑːz
gaza	ˈɡɑːzə
gaza's	ˈɡɑːzəz
gazans	ˈɡɑːzənz
gazaway	ˈɡɑːzəweɪ
gazda	ˈɡæzdə
gazdik	ˈɡæzdɪk
gaze	ɡeɪz
gazebo	ɡəˈziːboʊ
gazed	ɡeɪzd
gazella	ɡəˈzelə
gazelle	ɡəˈzel
gazelles	ɡəˈzelz
gazes	ˈɡeɪzəz
gazeta	ɡəˈzeɪtə
gazette	ɡəˈzet
gazing	ˈɡeɪzɪŋ
gazonsky	ɡəˈzɑːnskiː
gazonsky's	ɡəˈzɑːnskiːz
gazpacho	ɡəˈspɑːtʃoʊ
gazprom	ˈɡæzˌprɑːm
gazzola	ɡɑːtˈsoʊlə
gdansk	ɡdænsk
gdp	ˌɡiːˌdiːˈpiː
geac	ɡiːk
geagea	ˌdʒiːəˈdʒiːə
gean	dʒiːn
gear	ɡɪr
gear's	ɡɪrz
gearan	ˈɡɪrən
gearan's	ˈɡɪrənz
gearbox	ˈɡɪrˌbɑːks
gearboxes	ˈɡɪrbɑːksɪz
geared	ɡɪrd
gearey	ˈɡɪriː
gearhart	ˈɡɪrhɑːrt
gearheart	ˈɡɪrhɑːrt
gearin	ˈɡɪrɪn
gearing	ˈɡɪrɪŋ
gears	ɡɪrz
geary	ˈɡɪriː
gebauer	ˈɡebaʊər
gebbia	ˈdʒebiːə
gebbie	ˈdʒebiː
gebbie's	ˈdʒebiːz
gebel	ˈɡebəl
gebert	ˈɡebərt
gebhard	ˈɡebhərd
gebhardt	ˈɡebhɑːrt
gebhart	ˈɡebhɑːrt
gebler	ˈɡebələr
gebo	ˈdʒeɪboʊ
gechem	ˈɡetʃəm
geck	dʒek
gecko	ˈɡekoʊ
geckos	ˈɡekoʊz
ged	ɡed
geddes	ˈɡedəs
geddie	ˈdʒediː
geddings	ˈdʒedɪŋz
geddis	ˈɡedɪs
gedeon	ˈɡediːən
gedney	ˈdʒedniː
geduld	ˈɡedəld
gee	dʒiː
gee's	dʒiːz
geeing	ˈdʒiːɪŋ
geek	ɡiːk
geeks	ɡiːks
geeky	ˈɡiːkiː
geena	ˈɡiːnə
geenen	ˈɡiːnən
geer	ɡɪr
geerdes	ɡɪrdz
geers	ˈɡiːərz
geerts	ɡɪrts
gees	dʒiːs
geesaman	ˈɡiːsəmən
geese	ɡiːs
geesey	ˈɡiːsiː
geeslin	ˈɡiːslɪn
geeting	ˈɡiːtɪŋ
geez	dʒiːz
geeze	dʒiːz
geffen	ˈɡefən
geffert	ˈɡefərt
geffner	ˈɡefnər
geffre	ˈdʒefər
gefinor	ˈɡefɪnər
gegenheimer	ˈɡeɡɪnhaɪmər
gegg	dʒeɡ
gehl	ɡel
gehle	ˈdʒehəl
gehlhausen	ˈɡelhaʊzən
gehling	ˈɡelɪŋ
gehm	dʒem
gehman	ˈɡemən
gehr	dʒer
gehres	dʒerz
gehret	ˈɡerɪt
gehrig	ˈɡerɪɡ
gehrig's	ˈɡerɪɡz
gehring	ˈɡerɪŋ
gehringer	ˈɡerɪŋər
gehris	ˈɡerɪs
gehrke	dʒerk
gehrman	ˈɡermən
gehrmann	ˈɡermən
gehrt	ɡert
gehry	ˈɡeriː
geib	ɡaɪb
geibel	ˈɡaɪbəl
geico	ˈɡaɪkoʊ
geico's	ˈɡaɪkoʊz
geidar	ˈɡaɪˌdɑːr
geidel	ˈɡaɪdəl
geier	ˈɡaɪər
geiger	ˈɡaɪɡər
geigle	ˈɡaɪɡəl
geigy	ˈɡaɪɡiː
geigy's	ˈɡaɪɡiːz
geiken	ˈɡaɪkən
geil	ɡaɪl
geiler	ˈɡaɪlər
geiman	ˈɡaɪmən
geimer	ˈɡaɪmər
geis	ɡaɪz
geise	ɡaɪs
geisel	ˈɡaɪsəl
geiselman	ˈɡaɪsəlmən
geisen	ˈɡaɪsən
geiser	ˈɡaɪsər
geisert	ˈɡaɪsərt
geisha	ˈɡeɪʃə
geisinger	ˈɡaɪsɪndʒər
geisler	ˈɡaɪslər
geiss	ɡaɪs
geissinger	ˈɡaɪsɪndʒər
geissler	ˈɡaɪslər
geist	ɡaɪst
geister	ˈɡaɪstər
geiszler	ˈɡaɪslər
geitner	ˈɡaɪtnər
geitz	ɡaɪts
gejdenson	ˈɡeɪdənsən
gekas	ˈɡiːkəs
gekko	ˈɡekoʊ
gel	dʒel
gelardi	dʒeˈlɑːrdiː
gelardin	ɡəˈlɑːrdɪn
gelasia	dʒeˈlɑːsiːə
gelatin	ˈdʒelətən
gelatine	ˌdʒeləˈtiːn
gelatinous	dʒəˈlætənəs
gelb	dʒelb
gelbard	ˈɡelˌbɑːrd
gelbart	ˈɡelˌbɑːrt
gelber	ˈɡelbər
gelco	ˈdʒelkoʊ
gelder	ˈɡeldər
geldermann	ˈɡeldərmən
gelernter	ɡəˈlɜːrntər
gelertner	ɡəˈlɜːrtnər
gelett	ˈdʒelɪt
gelette	ʒɪˈlet
gelfand	ˈɡelfənd
gelinas	ˈɡelɪnəz
gelineau	ˈʒelɪnoʊ
gell	dʒel
gellatly	ˈdʒelətliː
geller	ˈɡelər
gellerman	ˈɡelərmən
gellert	ˈɡelərt
gelles	dʒelz
gelli	ˈɡeliː
gellis	ˈɡelɪs
gellman	ˈɡelmən
gellner	ˈɡelnər
gelman	ˈɡelmən
gelpi	ˈdʒelpiː
gels	dʒelz
gelsinger	ˈɡelsɪndʒər
geltz	ɡelts
gelvin	ˈɡelvɪn
gem	dʒem
gem's	dʒemz
gemayel	ɡəˈmeɪəl
gemayel's	ɡəˈmeɪəlz
gemberling	ˈɡembərlɪŋ
gemco	ˈdʒemkoʊ
gemcraft	ˈdʒemˌkræft
gemcraft's	ˈdʒemˌkræfts
gemex	ˈdʒemeks
gemfibrozil	ˈɡemfɪbroʊzəl
gemignani	dʒemiːɡˈnɑːniː
gemina	ɡeˈmiːnə
geminate	ˈdʒemənət
gemini	ˈdʒeməˌnaɪ
gemma	ˈdʒemə
gemme	dʒem
gemmell	ˈɡeməl
gemmer	ˈɡemər
gemmill	ˈɡeməl
gems	dʒemz
gemsbok	ˈɡemzbɑːk
gemstone	ˈdʒemˌstoʊn
gemstones	ˈdʒemˌstoʊnz
gen	dʒen
gena	ˈdʒenə
genady	dʒəˈneɪdiː
gencarelli	dʒenkɑːˈreliː
genco	ˈdʒeŋkoʊ
gencor	ˈdʒenˌkɔːr
gencorp	ˈdʒenˌkɔːrp
gencorp's	ˈdʒenˌkɔːrps
gendarme	ˈʒɑːnˌdɑːrm
gender	ˈdʒendər
gendered	ˈdʒendərd
genders	ˈdʒendərz
gendler	ˈdʒendlər
gendreau	ʒɪnˈdroʊ
gendrisek	ˈdʒedrɪˌsek
gendrisek's	ˈdʒedrɪˌseks
gendron	ˈdʒendrən
gene	dʒiːn
gene's	dʒiːnz
genealogical	ˌdʒiːniːɑːˈlɔːdʒɪkəl
genealogy	ˌdʒiːniːˈɑːlədʒiː
geneen	dʒəˈniːn
genego	ˈɡenəˌɡoʊ
genelab	ˈdʒenəˌlæb
genelabs	ˈdʒenəˌlæbz
genemedicine	ˌdʒenəˈmedəsən
genencor	ˈdʒenənˌkɔːr
genentech	ˈdʒenənˌtek
genentech's	ˈdʒenənˌteks
genera	ˈdʒenərə
general	ˈdʒenərəl
general's	ˈdʒenərəlz
generale	ˌdʒenəˈræl
generales	ˌdʒeneˈrɑːles
generali	ˌdʒenəˈrɑːliː
generalissimo	ˌdʒenerəˈlɪsɪˌmoʊ
generalist	ˈdʒenərəlɪst
generalists	ˈdʒenərəlɪsts
generalities	ˌdʒenəˈrælətiːz
generality	ˌdʒenəˈrælətiː
generalization	ˌdʒenərəlɪˈzeɪʃən
generalizations	ˌdʒenərələˈzeɪʃənz
generalize	ˈdʒenərəˌlaɪz
generalized	ˈdʒenərəˌlaɪzd
generalizing	ˈdʒenərəˌlaɪzɪŋ
generally	ˈdʒenərəliː
generals	ˈdʒenərəlz
generalship	ˈdʒenərəlˌʃɪp
generate	ˈdʒenəˌreɪt
generated	ˈdʒenəˌreɪtəd
generates	ˈdʒenəˌreɪts
generating	ˈdʒenəˌreɪtɪŋ
generation	ˌdʒenəˈreɪʃən
generation's	ˌdʒenəˈreɪʃənz
generational	ˌdʒenəˈreɪʃənəl
generationally	ˌdʒenəˈreɪʃənəliː
generations	ˌdʒenəˈreɪʃənz
generative	ˈdʒenərətɪv
generator	ˈdʒenəˌreɪtər
generator's	ˈdʒenəˌreɪtərz
generators	ˈdʒenəˌreɪtərz
genereux	ˈʒenəroʊ
generic	dʒəˈnerɪk
generically	dʒəˈnerɪkliː
generics	dʒəˈnerɪks
genero	dʒəˈnɜːroʊ
generosity	ˌdʒenəˈrɑːsətiː
generous	ˈdʒenərəs
generously	ˈdʒenərəsliː
genes	dʒiːnz
genesco	dʒeˈneskoʊ
genesee	ˈdʒenəˌsiː
genesis	ˈdʒenəsəs
genet	ˈdʒenɪt
genetic	dʒəˈnetɪk
genetically	dʒəˈnetɪkliː
geneticist	dʒəˈnetəsəst
geneticists	dʒəˈnetəsɪsts
genetics	dʒəˈnetɪks
genetization	ˌdʒenətɪˈzeɪʃən
geneva	dʒəˈniːvə
geneve	dʒəˈniːv
genevieve	ˈdʒenəˌviːv
genex	ˈdʒeneks
genex's	ˈdʒeneksɪz
geng	dʒeŋ
gengenbach	ˈɡeŋənˌbɑːk
genger	ˈdʒeŋɡər
genghis	ˈdʒeŋhɪs
gengler	ˈɡeŋlər
genial	ˈdʒiːnjəl
geniality	ˌdʒiːniːˈælətiː
genicom	ˈdʒenɪkɑːm
genie	ˈdʒiːniː
geniere	dʒenˈjer
genis	ˈɡenɪs
genisco	dʒeˈnɪskoʊ
genital	ˈdʒenətəl
genitalia	dʒenəˈtɑːljə
genitals	ˈdʒenətəlz
genius	ˈdʒiːnjəs
geniuses	ˈdʒiːnjəsɪz
genk	dʒeŋk
genlyte	ˈdʒenˌlaɪt
genmar	ˈdʒenmɑːr
genna	ˈdʒenə
gennadi	dʒeˈnɑːdiː
gennady	ɡəˈnɑːdiː
gennaro	dʒəˈnɑːroʊ
gennett	ˈdʒenɪt
gennifer	ˈdʒenɪfər
geno	ˈdʒiːnoʊ
genoa	ˈdʒenoʊə
genocidal	ˈdʒenəˌsaɪdəl
genocide	ˈdʒenəˌsaɪd
genocides	ˈdʒenəˌsaɪdz
genoese	ˈdʒenoʊs
genome	ˈdʒiːˌnoʊm
genomics	ˌdʒiːˈnoʊmɪks
genossenschaftsbank	ɡeˈnoʊsenʃæftsˌbæŋk
genotype	ˈdʒenəˌtaɪp
genotypes	ˈdʒenəˌtaɪps
genova	ˈdʒenoʊvə
genovese	ˈdʒenəviːz
genovesi	ˌdʒenoʊˈvesiː
genovise	ˈdʒenəviːz
genpharm	ˈdʒenˌfɑːrm
genrad	ˈdʒenræd
genre	ˈʒɑːnrə
genres	ˈʒɑːnrəz
genrich	ˈɡenrɪk
gens	dʒenz
genscher	ˈɡenʃər
gensel	ˈɡensəl
gensia	ˌdʒenˈsiːə
genske	dʒensk
gensler	ˈɡensələr
genson	ˈdʒensən
genstar	ˈdʒenˌstɑːr
gent	dʒent
gent's	dʒents
genteel	dʒenˈtiːl
genter	ˈdʒentər
genther	ˈɡenðər
genthner	ˈdʒenθnər
gentian	ˈdʒenʃən
gentile	ˈdʒenˌtaɪl
gentile's	ˈdʒenˌtaɪlz
gentiles	ˈdʒenˌtaɪlz
gentility	dʒenˈtɪlɪtiː
gentle	ˈdʒentəl
gentleladies	ˈdʒentəˌleɪdiːz
gentlelady	ˈdʒentəˌleɪdiː
gentleman	ˈdʒentəlmən
gentleman's	ˈdʒentəlˌmʌnz
gentlemanly	ˈdʒentəlmənliː
gentlemen	ˈdʒentəlmɪn
gentlemen's	ˈdʒentəlˌmenz
gentleness	ˈdʒentəlnəs
gentler	ˈdʒentlər
gentles	ˈdʒentəlz
gentlest	ˈdʒentələst
gentlewoman	ˈdʒentəlˌwʊmən
gentlewoman's	ˈdʒentəlˌwʊmənz
gentlewomen	ˈdʒentəlˌwɪmən
gentlewomen's	ˈdʒentəlˌwɪmənz
gently	ˈdʒentliː
gentner	ˈdʒentnər
gentrification	ˌdʒentrɪfɪˈkeɪʃən
gentrified	ˈdʒentrɪˌfaɪd
gentrify	ˈdʒentrɪˌfaɪ
gentrifying	ˈdʒentrɪˌfaɪɪŋ
gentry	ˈdʒentriː
gents	dʒents
gentz	dʒents
gentzler	ˈdʒentslər
genuine	ˈdʒenjəwən
genuinely	ˈdʒenjəwənliː
genuineness	ˈdʒenjəwənɪs
genung	ˈdʒenəŋ
genus	ˈdʒiːnəs
genz	dʒenz
genzyme	ˈdʒenˌzaɪm
geo	ˈdʒiːoʊ
geocentric	ˌdʒiːoʊˈsentrɪk
geochemistry	ˌdʒiːoʊˈkeməstriː
geodesic	ˌdʒiːəˈdesɪk
geodesy	dʒiːˈɑːdəsiː
geodetic	ˌdʒiːəˈdetɪk
geodyne	ˈdʒiːoʊˌdaɪn
geoff	dʒef
geoffrey	ˈdʒefriː
geoffrey's	ˈdʒefriːz
geoffrion	ˌdʒiːˈɑːfriːən
geoffroy	ˈdʒiːəfrɔɪ
geoghegan	ɡəˈheɪɡən
geographer	dʒiːˈɑːɡrəfər
geographic	ˌdʒiːəˈɡræfɪk
geographic's	ˌdʒiːəˈɡræfɪks
geographical	ˌdʒiːəˈɡræfɪkəl
geographically	ˌdʒiːəˈɡræfɪkəliː
geography	dʒiːˈɑːɡrəfiː
geoid	ˈdʒiːɔɪd
geologic	ˌdʒiːəˈlɑːdʒɪk
geological	ˌdʒiːəˈlɑːdʒɪkəl
geologist	dʒiːˈɑːlədʒəst
geologists	dʒiːˈɑːlədʒɪsts
geology	dʒiːˈɑːlədʒiː
geomagnetic	ˌdʒiːoʊmæɡˈnetɪk
geometric	ˌdʒiːəˈmetrɪk
geometrical	ˌdʒiːəˈmetrɪkəl
geometrically	ˌdʒiːəˈmetrɪkliː
geometrics	ˌdʒiːəˈmetrɪks
geometries	dʒiːˈɑːmətriːz
geometry	dʒiːˈɑːmətriː
geomorphology	ˌdʒiːəˌmɔːrˈfɑːlədʒiː
geon	ˈdʒiːɑːn
geophysical	ˌdʒiːoʊˈfɪzəkəl
geopolitic	ˌdʒiːoʊˈpɑːlɪtɪk
geopolitical	ˌdʒiːoʊpəˈlɪtɪkəl
geopolitically	ˌdʒiːoʊpəˈlɪtɪkliː
geopolitics	ˌdʒiːoʊˈpɑːlətɪks
geordie	ˈdʒiːərdiː
georg	ˈɡeɪɔːrɡ
georgakis	ˌdʒɔːrˈdʒɑːkəs
georgann	ˌdʒɔːrˈdʒæn
george	dʒɔːrdʒ
george's	ˈdʒɔːrdʒəz
georgene	ˈdʒɔːrˌdʒiːn
georges	ˈdʒɔːrdʒəz
georgeson	ˈdʒɔːrdʒɪsən
georgetown	ˈdʒɔːrdʒˌtaʊn
georgette	dʒɔːrˈdʒet
georgi	dʒiːˈɑːrdʒiː
georgia	ˈdʒɔːrdʒə
georgia's	ˈdʒɔːrdʒəz
georgiades	ˌdʒɔːrdʒiːˈɑːdəs
georgiadis	ˌdʒɔːrdʒiːˈɑːdɪs
georgian	ˈdʒɔːrdʒən
georgiana	ˌdʒɔːrdʒiːˈænə
georgians	ˈdʒɔːrdʒənz
georgie	ˈdʒɔːrdʒiː
